gene_id,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mmus_C57-6J_KDN_FLT_Rep3_M25,Mmus_C57-6J_KDN_FLT_Rep4_M26,Mmus_C57-6J_KDN_FLT_Rep5_M27,Mmus_C57-6J_KDN_FLT_Rep6_M28,Mmus_C57-6J_KDN_GC_Rep1_M33,Mmus_C57-6J_KDN_GC_Rep2_M34,Mmus_C57-6J_KDN_GC_Rep3_M35,Mmus_C57-6J_KDN_GC_Rep4_M36,Mmus_C57-6J_KDN_GC_Rep5_M37,Mmus_C57-6J_KDN_GC_Rep6_M38
ENSMUSG00000047963,247.6832578,302.0237438,283.5774577,338.3191225,339.3086904,449.3280472,415.0202278,415.4792172,308.0102703,290.1354858,325.3452908,298.9936154
ENSMUSG00000047965,7.357499474,5.547611405,2.45913579,9.313077588,6.391865088,9.952012103,7.419502637,16.27722872,7.402016277,7.777559256,13.90763165,6.061259551
ENSMUSG00000047976,20.74430521,17.47692631,37.9226835,24.92585992,37.95984731,31.43433967,27.16146608,31.31387353,29.95260557,17.18172464,22.2949225,23.66964472
ENSMUSG00000047986,523.5973901,484.6437197,441.4474416,419.6777701,510.6970757,408.1661061,353.1817085,391.8191085,317.8982207,472.8887899,316.9220832,371.503953
ENSMUSG00000047988,2.114492584,3.342129064,0.822947691,0,3.617223922,0.998875879,3.169364555,0,2.110824214,1.948326335,0.990758206,0
ENSMUSG00000047989,734.4471335,724.6847676,738.3041744,666.588397,700.034054,686.2024058,666.4711342,696.4303566,731.7848297,703.7006625,673.8781977,647.1669361
ENSMUSG00000047990,0,0,1.645819589,0,1.808816001,0.998832844,0,3.065398716,3.166307169,0,3.963156197,1.007928242
ENSMUSG00000047996,220.2350799,272.1507095,154.8538326,113.0275895,335.1361693,284.541154,268.7505578,254.3415382,197.806803,157.7516967,199.2903588,133.7306617
ENSMUSG00000048000,3609.198096,3777.763004,3451.683803,3625.054968,4061.621928,3997.668411,3965.585969,3711.879306,3665.532246,3392.653196,3656.510664,4199.700822
ENSMUSG00000048003,8.289592566,7.913110371,25.89044839,6.272488142,5.506935543,11.23066723,8.574252123,9.595287163,10.27770501,10.00949045,5.174807868,15.3382912
ENSMUSG00000048004,1.395868017,0,3.26310252,0.901878627,2.198069997,2.641017525,0,6.608338058,0,0,0.872741703,2.601407599
ENSMUSG00000048007,430.2954109,451.1846415,429.5761125,517.3097426,534.4527044,449.4916176,488.0845816,407.7163164,499.2113848,454.9327929,458.7229136,426.3437296
ENSMUSG00000048012,13.41124462,17.93192692,13.64405959,18.37527131,11.4873117,19.4275538,12.28041898,30.27457542,20.09037604,17.2403631,4.961334013,21.31447015
ENSMUSG00000048015,2.118037792,2.230672205,0,4.117060415,1.80361346,1.999866298,0,1.023147805,7.383820565,0,0.99000043,2.014477222
ENSMUSG00000048022,8177.800556,7191.424621,7666.590273,8528.153004,7863.133445,7088.295068,7459.397519,6651.426027,7807.90216,7106.749226,8056.15747,6776.655548
ENSMUSG00000048027,981.5516225,982.1974956,945.1725449,911.2685853,1002.826003,1020.300465,1270.732361,1207.405266,916.571295,1117.736728,1164.679902,885.0926402
ENSMUSG00000048029,5.934867144,7.48477757,3.847748569,3.849941366,5.056452015,8.58818794,2.303581944,4.060941972,10.84266728,2.731778206,2.775319731,3.814624924
ENSMUSG00000048038,2.753373496,7.563599378,1.360748496,2.579720407,1.505832534,0.836201466,0.881885983,2.567073685,4.407532054,5.066103523,4.136262186,6.733562257
ENSMUSG00000048039,836.4735256,760.5639378,738.1053118,747.3425434,674.7528947,649.882306,748.3980579,757.0257782,767.9630274,754.3931642,725.7303219,773.6142481
ENSMUSG00000048040,39.12666277,109.1927464,74.07622458,38.12224461,47.00691511,55.94477366,46.47830762,42.92489273,74.92888465,77.93896759,29.71978038,52.40637206
ENSMUSG00000048047,894.8745685,906.8293321,969.1583593,922.8684801,988.1302486,757.1899628,1020.413657,962.160472,1046.686237,1057.216932,964.7638545,866.3742722
ENSMUSG00000048058,1244.566823,1302.910018,1214.845321,1329.427715,1250.382646,1222.900597,1247.120835,1376.429784,1549.16458,1436.816008,1406.334973,1459.209135
ENSMUSG00000048070,30.71864456,29.00337606,26.3682332,0,11.71902079,40.00315822,9.49791772,44.00304111,11.60226517,14.62210854,16.82823068,8.057177526
ENSMUSG00000048076,8467.706807,8244.491738,8227.494031,8051.201099,7790.880777,7710.584995,7951.605356,8426.907956,8273.019114,7888.396596,8043.533557,7204.994006
ENSMUSG00000048078,1694.611333,1481.742822,1721.658357,1375.067786,1402.371956,1572.724779,1701.781438,1410.790409,1490.438726,1454.695792,2238.231083,1626.253074
ENSMUSG00000048087,232.8185765,214.0391613,205.0474325,288.3398279,195.9218503,202.8953476,224.9030325,208.6099743,238.4476268,189.0509014,309.9707912,187.3986979
ENSMUSG00000048096,211.8406035,233.1332941,205.9938728,213.0315676,224.4854959,277.0118718,291.2788363,280.3793467,262.6380333,188.1340715,256.3897449,239.7064182
ENSMUSG00000048100,437.2683112,447.4282102,464.298997,404.5566697,507.443445,428.4871094,420.9323162,522.5060594,493.7495076,436.5938887,503.7447629,361.5209969
ENSMUSG00000048106,645.14286,553.2582803,602.1969487,619.7121059,571.0034633,594.8012004,665.7165608,731.7632378,786.5144325,617.7413792,668.5194031,767.9434278
ENSMUSG00000048108,8114.44871,6133.908656,7874.290095,7632.627201,8568.698731,8201.781665,9491.253355,7837.586567,7093.755585,6222.355683,7709.590564,6605.568747
ENSMUSG00000048109,1924.072158,1785.929006,1761.160844,1717.625818,1912.550377,1776.061388,1918.114584,1840.637834,1846.777892,1663.000904,1705.481145,1851.983914
ENSMUSG00000048118,1392.067227,1477.332464,1291.08,1373.315962,1358.044095,1399.602945,1478.689808,1460.034325,1462.237151,1405.534253,1449.987997,1541.423452
ENSMUSG00000048120,648.2971484,631.8352006,409.5276629,833.8145014,649.4595297,720.6261881,485.4755822,598.9176921,541.1931381,510.9408653,525.6092081,649.747533
ENSMUSG00000048126,1622.31179,1895.556068,1820.261662,3316.022224,3083.929457,3042.756481,2547.331794,2393.223518,2050.636924,2545.832887,2210.526387,2987.815854
